Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
339.5,-0.019089
340.5,-0.019089
341.5,-0.019089
342.5,-0.019089
343.5,-0.019089
344.5,62.6413
345.5,586.234
346.5,850.524
347.5,991.057
348.5,1063.85
349.5,1067.02
350.5,979.351
351.5,807.114
352.5,541.339
353.5,144.312
354.5,-0.019089
355.5,-0.019089
356.5,-0.019089
357.5,-0.019089
358.5,-0.019089
359.5,-0.019089
360.5,-0.019089
361.5,-0.019089
362.5,-0.019089
363.5,-0.019089
364.5,-0.019089
365.5,-0.019089
366.5,-0.019089
367.5,-0.019089
368.5,98.7865
369.5,567.85
370.5,861.175
371.5,1034.38
372.5,954.814
373.5,1099.56
374.5,822.823
375.5,819.544
376.5,249.921
377.5,61.2135
378.5,-0.019089
379.5,-0.019089
380.5,-0.019089
381.5,-0.019089
382.5,-0.019089
383.5,-0.019089
384.5,-0.019089
385.5,-0.019089
386.5,-0.019089
387.5,-0.019089
388.5,-0.019089
389.5,-0.019089
390.5,-0.019089
391.5,-0.019089
392.5,80.3519
393.5,366.811
394.5,641.933
395.5,683.723
396.5,1082.44
397.5,1067.29
398.5,975.664
399.5,655.706
400.5,298.014
401.5,150.701
402.5,-0.019089
403.5,-0.019089
404.5,-0.019089
405.5,-0.019089
406.5,-0.019089
407.5,-0.019089
408.5,-0.019089
409.5,-0.019089
410.5,-0.019089
411.5,-0.019089
412.5,-0.019089
413.5,-0.019089
414.5,-0.019089
415.5,-0.019089
416.5,29.858
417.5,135.904
418.5,558.647
419.5,684.66
420.5,1113.72
421.5,1102.83
422.5,1002.31
423.5,631.576
424.5,445.876
425.5,164.654
426.5,-0.019089
427.5,-0.019089
428.5,-0.019089
429.5,-0.019089
430.5,-0.019089
431.5,-0.019089
432.5,-0.019089
433.5,-0.019089
434.5,-0.019089
435.5,-0.019089
436.5,-0.019089
437.5,-0.019089
438.5,-0.019089
439.5,-0.019089
440.5,100.775
441.5,236.424
442.5,425.339
443.5,531.635
444.5,700.059
445.5,721.734
446.5,736.172
447.5,475.159
448.5,181.41
449.5,38.8766
450.5,-0.019089
451.5,-0.019089
452.5,-0.019089
453.5,-0.019089
454.5,-0.019089
455.5,-0.019089
456.5,-0.019089
457.5,-0.019089
458.5,-0.019089
