Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
405.5,161.778
406.5,436.59
407.5,397.583
408.5,336.873
409.5,474.436
410.5,608.641
411.5,716.406
412.5,605.064
413.5,632.838
414.5,732.202
415.5,632.838
416.5,821.429
417.5,904.46
418.5,688.753
419.5,832.852
420.5,980.409
421.5,989.652
422.5,1065.33
423.5,992.782
424.5,840.476
425.5,421.18
426.5,288.022
427.5,472.741
428.5,575.225
429.5,764.304
430.5,916.511
431.5,950.168
432.5,761.364
433.5,507.676
434.5,512.424
435.5,389.183
436.5,234.486
437.5,253.871
438.5,358.157
439.5,262.973
440.5,392.185
441.5,462.633
442.5,265.284
443.5,717.173
444.5,284.845
445.5,236.265
446.5,187.995
447.5,204.623
448.5,126.158
449.5,87.7835
450.5,154.024
451.5,262.451
452.5,158.634
453.5,42.1058
454.5,0
455.5,0
456.5,0
457.5,0
458.5,0
459.5,0
460.5,0
461.5,0
462.5,44.3995
463.5,198.365
464.5,287.39
465.5,244.452
466.5,129.112
467.5,140.016
468.5,102.427
469.5,8.24006
470.5,0
471.5,0
472.5,108.942
473.5,68.4331
474.5,483.011
475.5,479.313
476.5,713.163
477.5,436.424
478.5,715.041
479.5,526.408
480.5,503.466
481.5,488.038
482.5,471.079
483.5,300.008
484.5,183.739
485.5,140.107
486.5,126.868
487.5,67.561
488.5,31.1572
489.5,0
490.5,0
491.5,0
492.5,0
493.5,0
494.5,0
495.5,0
496.5,13.5574
497.5,0
498.5,55.9377
499.5,105.453
500.5,96.8549
501.5,304.905
502.5,371.638
503.5,420.336
504.5,437.537
505.5,429.414
506.5,456.45
507.5,426.67
508.5,406.199
509.5,458.333
510.5,353.844
511.5,405.994
512.5,422.917
513.5,158.235
514.5,48.5862
515.5,8.64756
516.5,0
517.5,0
518.5,0
519.5,0
520.5,0
521.5,0
522.5,0
523.5,0
524.5,0
525.5,119.247
526.5,95.3527
527.5,35.2353
528.5,40.7391
529.5,103.403
530.5,135.276
531.5,172.737
532.5,278.072
533.5,311.218
534.5,393.033
535.5,301.442
536.5,275.676
537.5,108.543
538.5,0
539.5,0
540.5,0
541.5,0
542.5,0
543.5,0
544.5,0
545.5,63.0864
546.5,90.1408
547.5,35.9838
548.5,383.951
549.5,504.936
550.5,559.301
551.5,361.787
552.5,116.581
553.5,10.736
554.5,137.513
555.5,494.247
556.5,359.573
557.5,335.791
558.5,256.597
559.5,160.924
560.5,118.518
561.5,58.7476
562.5,0
563.5,0
564.5,0
565.5,0
566.5,0
567.5,0
568.5,35.3561
569.5,74.7216
570.5,201.297
571.5,282.187
572.5,225.389
573.5,242.565
574.5,0
575.5,0
576.5,379.436
577.5,395.688
578.5,95.743
579.5,186.789
580.5,331.148
581.5,381.466
582.5,309.13
583.5,257.255
584.5,306.079
585.5,311.538
586.5,178.973
587.5,151.032
588.5,115.573
589.5,40.83
590.5,0
591.5,0
592.5,0
593.5,0
594.5,0
595.5,0
596.5,0
597.5,132.982
598.5,161.183
599.5,228.732
600.5,234.266
601.5,265.298
602.5,222.69
603.5,323.107
604.5,335.597
605.5,298.053
606.5,435.284
607.5,497.234
608.5,431.081
609.5,611.352
610.5,304.751
611.5,247.043
612.5,305.373
613.5,421.906
614.5,698.539
615.5,795.38
616.5,872.203
617.5,595.674
618.5,363.3
619.5,448.136
620.5,583.228
621.5,847.925
622.5,745.187
623.5,890.707
624.5,872.32
625.5,816.005
626.5,464.866
627.5,672.919
628.5,1116.03
629.5,613.08
630.5,371.759
631.5,984.86
632.5,400.306
633.5,720.94
634.5,297.54
635.5,795.889
636.5,1154.39
637.5,696.103
638.5,901.015
639.5,1060.87
640.5,1145.77
641.5,477.746
642.5,344.505
643.5,506.932
644.5,386.781
645.5,692.889
646.5,470.087
647.5,360.223
648.5,355.697
649.5,285.064
650.5,604.236
651.5,634.591
652.5,612.354
653.5,315.135
654.5,525.402
655.5,324.844
656.5,316.335
657.5,312.641
658.5,161.061
659.5,344.455
660.5,245.884
661.5,1145.04
662.5,1233.14
663.5,1191.98
664.5,1230.97
665.5,880.165
666.5,1165.51
667.5,635.949
668.5,503.818
669.5,658.781
670.5,350.32
671.5,399.849
672.5,455.205
673.5,946.015
674.5,719.888
675.5,455.919
676.5,252.581
677.5,306.361
678.5,223.155
679.5,167.567
680.5,616.876
681.5,422.279
682.5,486.174
683.5,917.051
684.5,1023.11
685.5,921.807
686.5,1125.36
687.5,1078.74
688.5,1012.71
689.5,305.481
690.5,1196.07
691.5,1130.59
692.5,1093.08
693.5,915.126
694.5,987.293
695.5,925.057
696.5,882.71
697.5,943.819
698.5,701.654
699.5,1161.9
700.5,1126.92
701.5,979.653
702.5,698.258
703.5,1106.31
704.5,476.575
705.5,620.182
706.5,319.582
707.5,199.562
708.5,177.883
709.5,326.922
710.5,443.831
711.5,483.965
712.5,388.997
713.5,296.996
714.5,271.682
715.5,450.124
716.5,591.325
717.5,681.755
718.5,860.487
719.5,805.751
720.5,782.952
721.5,971.369
722.5,486.768
723.5,586.681
724.5,386.402
725.5,408.771
726.5,576.305
727.5,628.142
728.5,622.748
729.5,309.201
730.5,230.462
731.5,120.234
732.5,62.8543
733.5,0
734.5,63.3495
735.5,47.4209
736.5,0
737.5,0
738.5,0
739.5,0
740.5,0
741.5,307.664
742.5,551.285
743.5,478.313
744.5,690.712
745.5,656.856
746.5,940.298
747.5,757.497
748.5,1051.48
749.5,1167.17
750.5,885.217
751.5,988.755
752.5,914.268
753.5,782.715
754.5,759.055
755.5,804.478
756.5,580.482
757.5,295.309
758.5,184.34
759.5,192.054
760.5,86.865
761.5,130.572
762.5,61.5712
763.5,15.8304
764.5,82.0078
765.5,55.1943
766.5,114.652
767.5,158.002
768.5,335.233
769.5,225
770.5,260.437
771.5,273.277
772.5,293.184
773.5,341.784
