Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
0.5,59.3476
1.5,187.912
2.5,122.397
3.5,144.803
4.5,106.462
5.5,99.8629
6.5,116.714
7.5,6.91408
8.5,0
9.5,0
10.5,0
11.5,0
12.5,0
13.5,0
14.5,0
15.5,0
16.5,0
17.5,0
18.5,58.6403
19.5,265.264
20.5,208.639
21.5,177.376
22.5,135.279
23.5,153.347
24.5,231.766
25.5,59.3504
26.5,0
27.5,0
28.5,9.05232
29.5,97.781
30.5,82.3683
31.5,0
32.5,67.894
33.5,82.8352
34.5,0
35.5,0
36.5,0
37.5,0
38.5,57.6831
39.5,111.405
40.5,103.221
41.5,236.863
42.5,183.926
43.5,427.79
44.5,1036.66
45.5,616.628
46.5,852.336
47.5,864.484
48.5,654.356
49.5,514.355
50.5,457.314
51.5,337.768
52.5,321.059
53.5,501.802
54.5,594.352
55.5,519.303
56.5,502.389
57.5,189.235
58.5,144.327
59.5,151.796
60.5,148.711
61.5,109.37
62.5,80.1038
63.5,62.8553
64.5,58.6066
65.5,0
66.5,66.6393
67.5,153.311
68.5,170.86
69.5,232.886
70.5,241.485
71.5,285.345
72.5,404.562
73.5,532.05
74.5,361.807
75.5,328.842
76.5,292.204
77.5,241.7
78.5,169.413
79.5,95.0596
80.5,39.8468
81.5,0
82.5,0
83.5,0
84.5,0
85.5,0
86.5,0
87.5,61.6502
88.5,116.326
89.5,76.3665
90.5,392.966
91.5,579.142
92.5,622.196
93.5,473.705
94.5,757.291
95.5,604.896
96.5,856.841
97.5,851.907
98.5,680.626
99.5,807.501
100.5,512.68
101.5,486.252
102.5,281.914
103.5,275.409
104.5,341.203
105.5,147.149
106.5,105.239
107.5,39.2677
108.5,40.3209
109.5,87.6625
110.5,37.9653
111.5,0
112.5,0
113.5,0
114.5,0
115.5,0
116.5,0
117.5,0
118.5,78.3338
119.5,226.795
120.5,165.908
121.5,161.607
122.5,86.0982
123.5,68.2117
124.5,98.6467
125.5,133.233
126.5,127.225
127.5,19.357
128.5,33.8696
129.5,0
130.5,0
131.5,0
132.5,18.4247
133.5,44.169
134.5,52.5983
135.5,43.6907
136.5,56.3882
137.5,36.488
138.5,61.1705
139.5,61.3765
140.5,87.2536
141.5,112.349
142.5,134.689
143.5,120.863
144.5,113.319
145.5,106.972
146.5,90.4013
147.5,65.9946
148.5,277.627
149.5,350.858
150.5,422.091
151.5,441.537
152.5,378.069
153.5,469.448
154.5,292.208
155.5,327
156.5,325.17
157.5,318.555
158.5,233.614
159.5,269.04
160.5,253.393
161.5,158.104
162.5,248.566
163.5,77.1969
164.5,54.9234
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,49.3148
175.5,120.927
176.5,190.29
177.5,140.878
178.5,122.837
179.5,166.13
180.5,263.447
181.5,587.478
182.5,677.243
183.5,632.298
184.5,553.068
185.5,349.108
186.5,415.079
187.5,372.044
188.5,431.564
189.5,514.304
190.5,365.301
191.5,581.077
192.5,508.335
193.5,344.196
194.5,348.061
195.5,257.578
196.5,414.895
197.5,573.407
198.5,418.936
199.5,444.645
200.5,479.309
201.5,336.863
202.5,293.009
203.5,421.763
204.5,556.004
205.5,412.894
206.5,359.497
207.5,343.313
208.5,169.07
209.5,183.256
210.5,164.52
211.5,182.454
212.5,233.041
213.5,273.236
214.5,37.81
215.5,94.172
216.5,80.9494
217.5,142.23
218.5,119.446
219.5,184.238
220.5,217.67
221.5,218.715
222.5,184.482
223.5,237.625
224.5,337.321
225.5,314.001
226.5,612.444
227.5,509.221
228.5,491.099
229.5,455.702
230.5,492.512
231.5,393.207
232.5,391.571
233.5,417.09
234.5,254.62
235.5,361.268
236.5,283.205
237.5,349.505
238.5,248.631
239.5,122.483
240.5,328.351
241.5,152.646
242.5,76.7971
243.5,76.7971
244.5,91.6521
245.5,79.4718
246.5,85.7681
247.5,85.7681
248.5,102.069
249.5,0
250.5,0
251.5,0
252.5,0
253.5,0
254.5,0
255.5,0
256.5,0
257.5,0
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,12.6962
270.5,82.6881
271.5,91.1622
272.5,115.685
273.5,144.871
274.5,129.839
275.5,149.897
276.5,186.453
277.5,217.948
278.5,231.912
279.5,253.31
280.5,245.942
281.5,206.447
282.5,282.903
283.5,227.665
284.5,217.267
285.5,170.923
286.5,225.604
287.5,207.529
288.5,218.063
289.5,234.245
290.5,302.566
291.5,299.801
292.5,263.23
293.5,266.92
294.5,304.453
295.5,277.989
296.5,296.187
297.5,474.835
298.5,369.124
299.5,275.153
300.5,168.445
301.5,76.1073
302.5,21.9261
303.5,0
304.5,0
305.5,0
306.5,39.5774
307.5,40.3383
308.5,8.89474
309.5,55.9058
310.5,93.7421
311.5,131.319
312.5,82.3728
313.5,74.0853
314.5,72.2367
315.5,70.0626
316.5,79.2388
317.5,67.7798
318.5,0
319.5,0
320.5,0
321.5,0
322.5,0
323.5,0
324.5,0
325.5,0
326.5,0
327.5,0
328.5,64.9064
329.5,108.274
330.5,245.218
331.5,115.327
332.5,200.11
333.5,79.8197
334.5,0
335.5,0
336.5,0
337.5,141.487
338.5,199.884
339.5,275.837
340.5,275.837
341.5,332.378
342.5,258.226
343.5,261.873
344.5,252.857
345.5,39.4866
346.5,0
347.5,0
348.5,0
349.5,0
350.5,0
351.5,0
352.5,0
353.5,0
354.5,0
355.5,0
356.5,0
357.5,0
358.5,15.2735
359.5,51.1272
360.5,46.8713
361.5,77.3266
362.5,26.4106
363.5,0
364.5,0
365.5,0
366.5,0
367.5,0
368.5,0
369.5,0
370.5,0
371.5,0
372.5,0
373.5,0
374.5,15.5935
375.5,40.1455
376.5,63.3353
377.5,72.4547
378.5,197.957
379.5,252.076
380.5,281.081
381.5,304.934
382.5,212.992
383.5,219.19
384.5,311.35
385.5,430.565
386.5,402.763
387.5,314.892
388.5,193.532
389.5,187.005
390.5,491.418
391.5,696.412
392.5,695.297
393.5,240.819
394.5,7.46195
395.5,32.6855
396.5,92.7781
397.5,69.0264
398.5,71.744
399.5,79.4594
400.5,1.63736
401.5,52.4564
402.5,197.934
403.5,0
404.5,0
405.5,0
406.5,0
407.5,99.8913
408.5,439.867
409.5,404.667
410.5,56.8517
411.5,372.497
412.5,214.94
413.5,94.2869
414.5,165.505
415.5,128.734
416.5,130.296
417.5,82.3912
418.5,0
419.5,0
420.5,0
421.5,0
422.5,0
423.5,0
424.5,0
425.5,0
426.5,99.9379
427.5,229.418
428.5,254.893
429.5,195.345
430.5,198.041
431.5,264.263
432.5,202.097
433.5,189.712
434.5,498.316
435.5,562.155
436.5,864.78
437.5,519.642
438.5,666.164
439.5,345.091
440.5,397.573
441.5,437.85
442.5,134.232
443.5,0
444.5,20.0918
445.5,133.174
446.5,151.178
447.5,118.107
448.5,0
449.5,0
450.5,0
451.5,68.7253
452.5,450.141
453.5,1105.41
454.5,1219.87
455.5,1220.4
456.5,1248.72
457.5,1251.67
458.5,1251.67
459.5,1248.98
460.5,1237.32
461.5,1235.09
462.5,1224.48
463.5,1179.28
464.5,1133.22
465.5,1225.14
466.5,1156.18
467.5,1034.08
468.5,582.874
469.5,349.379
470.5,181.49
471.5,88.1502
472.5,0
473.5,0
474.5,0
475.5,0
476.5,0
477.5,70.0018
478.5,238.212
479.5,330.196
480.5,310.094
481.5,333.777
482.5,543.699
483.5,486.342
484.5,452.337
485.5,380.685
486.5,419.772
487.5,513.879
488.5,368.732
489.5,400.059
490.5,147.178
491.5,197.819
492.5,171.135
493.5,537.151
494.5,1217.64
495.5,1251.67
496.5,1225.87
497.5,553.555
498.5,319.05
499.5,89.9211
500.5,31.1177
501.5,0
502.5,0
503.5,0
504.5,0
505.5,0
506.5,0
507.5,174.203
508.5,282.766
509.5,374.3
510.5,483.398
511.5,467.589
512.5,553.704
513.5,1235
514.5,1113.57
515.5,1167.87
516.5,1019.04
517.5,924.644
518.5,771.371
519.5,481.776
520.5,397.006
521.5,159.661
522.5,260.922
523.5,1019.59
524.5,780.569
525.5,1093.24
526.5,1224.98
527.5,1066.51
528.5,833.583
529.5,589.984
530.5,1220.1
531.5,968.701
532.5,626.637
533.5,777.872
534.5,541.809
535.5,606.737
536.5,350.236
537.5,532.002
538.5,531.885
539.5,358.596
540.5,289.941
541.5,161.107
542.5,131.934
543.5,69.8463
544.5,31.6534
545.5,0
546.5,0
547.5,0
548.5,43.1765
549.5,114.199
550.5,247.333
551.5,339.841
552.5,333.794
553.5,356.573
554.5,416.421
555.5,295.044
556.5,240.146
557.5,309.529
558.5,395.622
559.5,115.409
560.5,122.135
561.5,170.41
562.5,351.169
563.5,760.07
564.5,1162.82
565.5,1224.04
566.5,1251.67
567.5,1251.67
568.5,1245.17
569.5,1226.97
570.5,1031.24
571.5,823.152
572.5,666.74
573.5,279.824
574.5,217.55
575.5,150.348
576.5,137.814
577.5,198.742
578.5,159.262
579.5,86.4429
580.5,53.9024
581.5,13.3176
582.5,76.6759
583.5,176.419
584.5,237.702
585.5,68.8346
586.5,0
587.5,34.8189
588.5,47.1145
589.5,50.6856
590.5,61.5009
591.5,94.4751
592.5,76.42
593.5,67.9203
594.5,41.031
595.5,19.5983
596.5,43.8626
597.5,0
598.5,54.0297
599.5,74.8035
600.5,39.3679
601.5,53.2741
602.5,146.829
603.5,268.6
604.5,268.84
605.5,324.064
606.5,553.306
607.5,432.797
608.5,484.513
609.5,382.627
610.5,382.386
611.5,278.136
612.5,250.121
613.5,226.029
614.5,171.201
615.5,301.154
616.5,265.693
617.5,188.254
618.5,76.9694
619.5,194.7
620.5,71.9091
621.5,79.2953
622.5,33.4758
623.5,0
624.5,0
625.5,39.0758
626.5,187.112
627.5,445.722
628.5,497.413
629.5,531.373
630.5,685.676
631.5,784.841
632.5,788.322
633.5,499.308
634.5,275.703
635.5,230.708
636.5,215.709
637.5,82.2274
638.5,80.1416
639.5,62.8583
640.5,44.8593
641.5,0
642.5,0
643.5,115.756
644.5,160.4
645.5,149.544
646.5,38.9218
647.5,121.416
648.5,101.453
649.5,118.459
650.5,145.85
651.5,304.561
652.5,525.707
653.5,564.054
654.5,565.262
655.5,399.27
656.5,447.063
657.5,202.499
658.5,39.6128
659.5,15.5021
660.5,0
661.5,0
662.5,0
663.5,0
664.5,0
665.5,1.66728
666.5,119.554
667.5,252.866
668.5,346.412
669.5,312.677
670.5,385.582
671.5,424.965
672.5,416.064
673.5,381.244
674.5,370.585
675.5,366.66
676.5,375.777
677.5,387.523
678.5,440.764
679.5,471.643
680.5,372.22
681.5,178.359
682.5,87.4393
683.5,92.1103
684.5,125.522
685.5,200.345
686.5,214.616
687.5,194.653
688.5,181.425
689.5,91.4173
690.5,84.2531
691.5,0
692.5,0
693.5,0
694.5,1215.26
695.5,1232.94
696.5,1149.5
697.5,1238.16
698.5,1238.17
699.5,1189.48
700.5,1151.76
701.5,1175.72
702.5,1075.14
703.5,635.293
704.5,763.261
705.5,738.309
706.5,291.136
707.5,152.153
708.5,66.5727
709.5,0
710.5,0
711.5,0
712.5,0
713.5,0
714.5,99.0491
715.5,157.177
716.5,252.683
717.5,352.796
718.5,346.887
719.5,276.997
720.5,309.176
721.5,223.913
722.5,206.259
723.5,233.554
724.5,156.687
725.5,181.104
726.5,262.317
727.5,271.682
728.5,0
729.5,0
730.5,234.912
731.5,393.735
732.5,438.136
733.5,430.844
734.5,446.757
735.5,471.169
736.5,597.383
737.5,507.525
738.5,910.524
739.5,947.834
740.5,920.533
741.5,1223.2
742.5,1133.47
743.5,1246.68
744.5,1224.81
745.5,1251.67
746.5,1241.29
747.5,1251.67
748.5,1251.67
749.5,1251.67
750.5,1238.66
751.5,1251.67
752.5,1251.67
753.5,1251.67
754.5,1251.67
755.5,1251.67
756.5,1251.67
757.5,1251.67
758.5,1251.67
759.5,1251.67
760.5,1251.67
761.5,1243.01
762.5,1185.85
763.5,948.161
764.5,1052.46
765.5,975.156
766.5,1240.43
767.5,1246.59
768.5,1229.22
769.5,1233.24
770.5,1221.61
771.5,1202.69
772.5,1222.03
773.5,1180.64
774.5,1126.45
775.5,1043.56
776.5,984.268
777.5,904.879
778.5,927.393
779.5,911.87
780.5,783.671
781.5,811.616
782.5,692.784
783.5,593.628
784.5,562.198
785.5,499.828
786.5,145.737
787.5,126.808
788.5,238.671
789.5,222.758
790.5,273.578
791.5,250.215
792.5,290.493
793.5,313.49
794.5,202.173
795.5,232.671
796.5,236.738
797.5,227.165
798.5,165.132
799.5,110.424
800.5,85.9033
801.5,0
802.5,0
803.5,0
804.5,0
805.5,0
806.5,0
807.5,0
808.5,0
809.5,0
810.5,0
811.5,0
812.5,0
813.5,0
814.5,0
815.5,0
816.5,63.7679
817.5,137.361
818.5,138.715
819.5,165.903
820.5,265.269
821.5,290.352
822.5,341.591
823.5,348.844
824.5,364.209
825.5,78.8165
826.5,46.8971
827.5,56.4387
828.5,45.4652
829.5,39.4258
830.5,44.0387
831.5,39.8606
832.5,50.3447
833.5,35.2836
834.5,101.343
835.5,361.938
836.5,428.079
837.5,422.566
838.5,480.031
839.5,604.415
840.5,578.471
841.5,513.665
842.5,356.701
843.5,476.658
844.5,385.788
845.5,313.886
846.5,378.531
847.5,466.301
848.5,518.907
849.5,195.13
850.5,59.075
851.5,36.317
852.5,0
853.5,0.53909
854.5,34.43
855.5,0
856.5,15.2098
857.5,0
858.5,96.259
859.5,159.679
860.5,347.285
861.5,821.76
862.5,129.805
863.5,0
864.5,0
865.5,22.5925
866.5,210.221
867.5,511.223
868.5,743.359
869.5,523.751
870.5,379.151
871.5,504.747
872.5,489.691
873.5,454.697
874.5,634.635
875.5,395.149
876.5,526.533
877.5,524.055
878.5,825.667
879.5,904.865
880.5,898.616
881.5,714.096
882.5,1002.18
883.5,911.147
884.5,636.356
885.5,649.326
886.5,923.79
887.5,714.311
888.5,780.428
889.5,526.443
890.5,587.38
891.5,640.466
892.5,514.584
893.5,238.212
894.5,157.392
895.5,160.358
896.5,138.757
897.5,0
898.5,31.0754
899.5,57.6467
900.5,79.4102
901.5,267.589
902.5,333.742
903.5,534.336
904.5,572.5
905.5,313.797
906.5,367.281
907.5,454.861
908.5,374.37
909.5,332.087
910.5,1068.27
911.5,712.363
912.5,987.275
913.5,610.953
914.5,939.147
915.5,438.787
916.5,309.804
917.5,1058.21
918.5,511.697
919.5,575.28
920.5,0
921.5,399.226
922.5,394.587
923.5,601.567
924.5,836.891
925.5,1098.38
926.5,1249.52
927.5,1251.67
928.5,1251.67
929.5,1251.67
930.5,1251.67
931.5,1251.67
932.5,1251.67
933.5,1251.67
934.5,1250.26
935.5,1249.04
936.5,1240.19
937.5,1243.58
938.5,1208.11
939.5,1204.64
940.5,1175.25
941.5,1086.53
942.5,947.841
943.5,1035.47
944.5,1049.21
945.5,1072.58
946.5,1125.13
947.5,1055.13
948.5,758.353
949.5,592.841
950.5,485.569
951.5,334.36
952.5,306.079
953.5,79.716
954.5,45.0562
955.5,103.449
956.5,71.3074
957.5,0
958.5,0
959.5,0
960.5,6.73969
961.5,110.4
962.5,183.506
963.5,197.881
964.5,219.006
965.5,325.79
966.5,389.21
967.5,237.089
968.5,216.535
969.5,144.351
970.5,47.033
971.5,46.4646
972.5,42.1386
973.5,32.0301
974.5,0
975.5,0
976.5,0
977.5,0
978.5,0
979.5,0
980.5,0
981.5,0
982.5,0
983.5,0
984.5,0
985.5,0
986.5,0
987.5,0
988.5,0
989.5,0
990.5,0
991.5,0
992.5,12.4275
993.5,0
994.5,0
995.5,0
996.5,0
997.5,0
998.5,0
999.5,0
1000.5,20.1613
1001.5,0
1002.5,0
1003.5,0
1004.5,0
1005.5,0
1006.5,0
1007.5,0
1008.5,0
1009.5,57.085
1010.5,66.3558
1011.5,79.9528
1012.5,168.187
1013.5,265.909
1014.5,396.5
1015.5,523.53
1016.5,496.182
1017.5,219.297
1018.5,64.2975
1019.5,57.3725
1020.5,144.948
1021.5,188.207
1022.5,127.646
1023.5,102.521
1024.5,87.7219
1025.5,101.922
1026.5,212.879
1027.5,225.823
1028.5,301.561
1029.5,207.526
1030.5,150.4
1031.5,88.3581
1032.5,147.934
1033.5,290.38
1034.5,292.735
1035.5,428.548
1036.5,497.981
1037.5,625.663
1038.5,642.438
1039.5,625.611
1040.5,343.521
1041.5,266.016
1042.5,151.923
1043.5,69.6197
1044.5,50.402
1045.5,132.551
1046.5,204.638
1047.5,196.668
1048.5,181.382
1049.5,77.9194
1050.5,68.2484
1051.5,399.476
1052.5,177.367
1053.5,206.402
1054.5,526.93
1055.5,1145.35
1056.5,1179.41
1057.5,1157.62
1058.5,1162.78
1059.5,1221.67
1060.5,1189.66
1061.5,1132.93
1062.5,850.868
1063.5,597.613
1064.5,400.436
1065.5,240.98
1066.5,123.285
1067.5,74.4444
