Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
0.5,135.221
1.5,142.681
2.5,212.868
3.5,194.24
4.5,147.906
5.5,319.859
6.5,350.694
7.5,254.022
8.5,184.976
9.5,150.504
10.5,113.516
11.5,201.751
12.5,106.623
13.5,112.292
14.5,65.914
15.5,63.1766
16.5,17.0708
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,59.2864
29.5,83.3408
30.5,96.734
31.5,117.817
32.5,143.768
33.5,67.3398
34.5,0
35.5,34.9295
36.5,143.313
37.5,99.7051
38.5,35.6804
39.5,51.2135
40.5,19.7559
41.5,0
42.5,0
43.5,14.5842
44.5,63.8393
45.5,86.9804
46.5,40.226
47.5,17.1859
48.5,0
49.5,0
50.5,0
51.5,35.5046
52.5,74.1897
53.5,84.9925
54.5,96.7084
55.5,87.0737
56.5,74.5297
57.5,0
58.5,0
59.5,0
60.5,0
61.5,0
62.5,0
63.5,0
64.5,0
65.5,0
66.5,0
67.5,0
68.5,0
69.5,0
70.5,99.4085
71.5,173.055
72.5,138.137
73.5,200.263
74.5,226.872
75.5,263.795
76.5,342.333
77.5,336.819
78.5,285.259
79.5,327.955
80.5,305.972
81.5,180.279
82.5,154.603
83.5,178.042
84.5,172.926
85.5,137.952
86.5,126.733
87.5,138.093
88.5,151.483
89.5,91.3685
90.5,350.638
91.5,350.069
92.5,402.293
93.5,386.767
94.5,400.622
95.5,374.49
96.5,390.823
97.5,353.025
98.5,314.592
99.5,261.815
100.5,255.684
101.5,419.884
102.5,452.604
103.5,380.648
104.5,284.787
105.5,340.868
106.5,196.722
107.5,160.803
108.5,214.348
109.5,190.792
110.5,179.797
111.5,202.106
112.5,214.039
113.5,208.399
114.5,258.635
115.5,354.446
116.5,228.196
117.5,331.636
118.5,216.423
119.5,170.255
120.5,143.681
121.5,130.504
122.5,152.294
123.5,147.794
124.5,158.025
125.5,123.27
126.5,168.833
127.5,183.141
128.5,157.124
129.5,43.4766
130.5,0
131.5,0
132.5,0
