Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
0.5,78.7544
1.5,134.448
2.5,161.796
3.5,139.466
4.5,111.7
5.5,245.803
6.5,236.583
7.5,198.054
8.5,137.73
9.5,122.08
10.5,83.2647
11.5,164.003
12.5,97.5848
13.5,84.8558
14.5,51.3204
15.5,48.6808
16.5,0.509138
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,6.11881
28.5,64.7813
29.5,68.2939
30.5,55.8522
31.5,62.4411
32.5,107.477
33.5,47.0162
34.5,0
35.5,20.9032
36.5,118.827
37.5,85.1276
38.5,4.93268
39.5,34.0924
40.5,0
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,39.5976
53.5,49.6119
54.5,58.1451
55.5,51.7213
56.5,36.4315
57.5,0
58.5,0
59.5,0
60.5,0
61.5,0
62.5,0
63.5,0
64.5,0
65.5,0
66.5,0
67.5,0
68.5,2.94537
69.5,77.5696
70.5,193.54
71.5,241.336
72.5,283.748
73.5,361.865
74.5,374.987
75.5,411.071
76.5,533.825
77.5,586.702
78.5,454.493
79.5,444.976
80.5,432.886
81.5,278.457
82.5,203.385
83.5,240.216
84.5,190.874
85.5,124.684
86.5,125.779
87.5,148.678
88.5,134.398
89.5,145.362
90.5,342.065
91.5,376.266
92.5,567.164
93.5,581.273
94.5,745.173
95.5,663.021
96.5,756.017
97.5,691.267
98.5,513.984
99.5,390.14
100.5,535.64
101.5,605.547
102.5,558.802
103.5,541.119
104.5,343.893
105.5,419.269
106.5,200.173
107.5,158.384
108.5,191.669
109.5,191.988
110.5,177.725
111.5,198.841
112.5,173.538
113.5,286.41
114.5,318.119
115.5,345.079
116.5,217.428
117.5,310.736
118.5,178.743
119.5,126.101
120.5,112.724
121.5,100.985
122.5,108.659
123.5,83.0906
124.5,121.712
125.5,97.8039
126.5,131.193
127.5,124.179
128.5,104.586
129.5,17.4261
130.5,0
131.5,0
132.5,0
133.5,0
134.5,23.4828
135.5,50.5565
136.5,51.0428
137.5,102.808
138.5,440.677
139.5,613.37
140.5,599.792
141.5,559.869
142.5,633.309
143.5,509.127
144.5,428.899
145.5,384.256
146.5,499.961
147.5,293.188
148.5,304.144
149.5,293.188
150.5,207.418
151.5,252.177
152.5,166.168
153.5,178.292
154.5,106.455
155.5,232.696
156.5,285.93
157.5,290.055
158.5,285.366
159.5,295.427
160.5,295.78
161.5,291.53
162.5,603.397
163.5,587.476
164.5,494.583
165.5,667.363
166.5,588.332
167.5,597.683
168.5,409.289
169.5,462.669
170.5,355.846
171.5,464.575
172.5,401.905
173.5,259.077
174.5,336.366
175.5,417.024
176.5,483.095
177.5,183.183
178.5,103.126
179.5,163.368
180.5,116.813
181.5,88.6778
182.5,27.316
183.5,0
184.5,0
185.5,0
186.5,0
187.5,0
188.5,0
189.5,0
190.5,20.7838
191.5,199.342
192.5,135.208
193.5,144.529
194.5,133.794
195.5,135.96
196.5,113.977
197.5,157.609
198.5,154.015
199.5,108.865
200.5,94.5826
201.5,94.5826
202.5,123.336
203.5,126.606
204.5,151.63
205.5,344.565
206.5,492.447
207.5,569.55
208.5,572.316
209.5,246.11
210.5,273.459
211.5,119.789
212.5,246.17
213.5,458.333
214.5,352.733
215.5,206.642
216.5,164.971
217.5,135.458
218.5,78.6415
219.5,97.8712
220.5,109.091
221.5,120.311
222.5,91.8873
223.5,64.9401
224.5,53.5979
225.5,0
226.5,16.3591
227.5,6.71898
228.5,0
229.5,0
230.5,0
231.5,98.1673
232.5,229.767
233.5,162.472
234.5,494.155
235.5,937.83
236.5,811.053
237.5,944.22
238.5,1251.67
239.5,1250.65
240.5,1169.63
241.5,1123.67
242.5,1131.88
243.5,937.056
244.5,1004.09
245.5,1173.16
246.5,997.291
247.5,430.297
248.5,1034.15
249.5,1230.88
250.5,1251.67
251.5,1251.67
252.5,1251.67
253.5,1251.67
254.5,1251.67
255.5,1251.67
256.5,1251.67
257.5,497.805
258.5,0
259.5,646.528
260.5,457.045
261.5,684.082
262.5,425.519
263.5,929.97
264.5,671.096
265.5,322.667
266.5,261.723
267.5,257.687
268.5,193.083
269.5,71.3574
270.5,0
271.5,47.514
272.5,57.8938
273.5,149.15
274.5,217.991
275.5,102.473
276.5,165.52
277.5,122.779
278.5,131.056
279.5,153.378
280.5,155.492
281.5,159.33
282.5,158.393
283.5,115.748
284.5,80.5429
285.5,112.546
286.5,141.074
287.5,193.191
288.5,147.135
289.5,119.606
290.5,109.292
291.5,84.9056
292.5,233.308
293.5,106.275
294.5,96.5858
295.5,76.9004
296.5,0
297.5,76.4297
298.5,0
299.5,0
300.5,0
301.5,0
302.5,0
303.5,0
304.5,0
305.5,0
306.5,0
307.5,0
308.5,61.046
309.5,74.932
310.5,43.7827
311.5,67.6797
312.5,90.5552
313.5,58.2104
314.5,76.4364
315.5,62.0676
316.5,62.6923
317.5,112.982
318.5,154.921
319.5,90.5786
320.5,89.2593
321.5,106.682
322.5,57.3229
323.5,28.5581
324.5,14.9605
325.5,31.3827
326.5,37.0771
327.5,79.2995
328.5,77.4344
329.5,82.5243
330.5,51.9524
331.5,53.6501
332.5,73.9517
333.5,77.2228
334.5,0
335.5,0
336.5,0
337.5,0
338.5,0
339.5,0
340.5,0
341.5,0
342.5,0
343.5,0
344.5,0
345.5,0
346.5,0
347.5,0
348.5,75.1748
349.5,72.4233
350.5,79.0316
351.5,64.5628
352.5,60.8382
353.5,0
354.5,73.1042
355.5,83.0318
356.5,175.453
357.5,151.469
358.5,202.976
359.5,299.985
360.5,356.288
361.5,408.44
362.5,379.013
363.5,438.844
364.5,365.779
365.5,697.873
366.5,717.789
367.5,330.291
368.5,642.522
369.5,288.357
370.5,138.583
371.5,113.828
372.5,461.518
373.5,412.364
374.5,300.441
375.5,260.434
376.5,149.072
377.5,258.922
378.5,219.26
379.5,251.352
380.5,370.778
381.5,319.541
382.5,217.359
383.5,272.9
384.5,267.525
385.5,332.647
386.5,159.304
387.5,149.84
388.5,197.056
389.5,118.68
390.5,168.356
391.5,99.3615
392.5,59.4808
393.5,4.41151
394.5,0
395.5,0
396.5,0
397.5,0
398.5,0
399.5,0
400.5,0
401.5,0
402.5,0
403.5,11.3105
404.5,86.8664
405.5,206.397
406.5,447.076
407.5,590.398
408.5,539.357
409.5,519.761
410.5,543.031
411.5,689.095
412.5,701.009
413.5,799.102
414.5,888.6
415.5,923.269
416.5,983.543
417.5,1051.01
418.5,696.155
419.5,754.822
420.5,924.299
421.5,1039.59
422.5,988.54
423.5,919.612
424.5,805.014
425.5,287.638
426.5,218.578
427.5,608.928
428.5,815.026
429.5,926.393
430.5,977.357
431.5,1108.56
432.5,1039.55
433.5,775.188
434.5,710.089
435.5,435.123
436.5,220.206
437.5,127.722
438.5,194.303
439.5,154.85
440.5,175.004
441.5,182.261
442.5,115.919
443.5,379.558
444.5,144.185
445.5,94.334
446.5,99.4681
447.5,112.303
448.5,84.3742
449.5,86.8201
450.5,110.778
451.5,51.386
452.5,31.3694
453.5,0
454.5,0
455.5,0
456.5,0
457.5,0
458.5,0
459.5,0
460.5,0
461.5,0
462.5,0
463.5,192.468
464.5,269.866
465.5,164.715
466.5,161.506
467.5,144.263
468.5,124.522
469.5,11.5993
470.5,0
471.5,39.33
472.5,73.8956
473.5,32.7999
474.5,179.419
475.5,349.543
476.5,358.722
477.5,216.259
478.5,291.954
479.5,202.234
480.5,166.527
481.5,212.364
482.5,135.255
483.5,105.488
484.5,66.9218
485.5,46.8515
486.5,56.0591
487.5,14.1411
488.5,0
489.5,0
490.5,0
491.5,0
492.5,0
493.5,0
494.5,0
495.5,0
496.5,0
497.5,0
498.5,117.556
499.5,130.891
500.5,117.209
501.5,346.979
502.5,533.049
503.5,644.317
504.5,670.191
505.5,684.201
506.5,605.888
507.5,519.481
508.5,484.885
509.5,521.757
510.5,406.199
511.5,363.422
512.5,375.961
513.5,164.283
514.5,34.3939
515.5,0
516.5,0
517.5,0
518.5,0
519.5,0
520.5,0
521.5,0
522.5,17.1692
523.5,31.6088
524.5,26.5523
525.5,151.373
526.5,102.744
527.5,0
528.5,58.7283
529.5,100.5
530.5,92.8963
531.5,119.291
532.5,282.185
533.5,284.551
534.5,241.707
535.5,149.887
536.5,86.2944
537.5,16.8899
538.5,0
539.5,0
540.5,0
541.5,0
542.5,0
543.5,0
544.5,0
545.5,53.1869
546.5,90.0516
547.5,75.6321
548.5,456.617
549.5,565.582
550.5,515.395
551.5,356.265
552.5,56.2111
553.5,0
554.5,62.1152
555.5,211.563
556.5,153.246
557.5,118.944
558.5,142.482
559.5,97.8973
560.5,43.3308
561.5,0
562.5,0
563.5,0
564.5,0
565.5,0
566.5,0
567.5,0
568.5,18.6418
569.5,75.4409
570.5,226.405
571.5,489.351
572.5,391.376
573.5,204.861
574.5,104.867
575.5,7.89022
576.5,68.5033
577.5,0
578.5,85.9835
579.5,177.818
580.5,150.672
581.5,233.936
582.5,160.225
583.5,70.0318
